unique_id,ds,y
86,1/1/1998,5999
86,1/2/1998,18538
86,1/3/1998,13516
86,1/4/1998,14928
86,1/5/1998,14337
86,1/6/1998,14206
86,1/7/1998,15286
86,1/8/1998,16538
86,1/9/1998,16994
86,1/10/1998,13545
86,1/11/1998,15448
86,1/12/1998,20265
86,1/13/1998,5859
86,1/14/1998,12006
86,1/15/1998,14431
86,1/16/1998,19373
86,1/17/1998,12811
86,1/18/1998,18436
86,1/19/1998,14316
86,1/20/1998,17031
86,1/21/1998,16128
86,1/22/1998,14198
86,1/23/1998,17406
86,1/24/1998,18687
86,1/25/1998,8831
86,1/26/1998,18536
86,1/27/1998,18144
86,1/28/1998,15360
86,1/29/1998,19566
86,1/30/1998,18058
86,1/31/1998,19393
86,2/1/1998,22389
86,2/2/1998,16664
86,2/3/1998,15322
86,2/4/1998,14803
86,2/5/1998,22839
86,2/6/1998,9507
86,2/7/1998,23261
86,2/8/1998,24843
86,2/9/1998,21030
86,2/10/1998,20586
86,2/11/1998,22426
86,2/12/1998,21142
86,2/13/1998,24148
86,2/14/1998,19618
86,2/15/1998,20664
86,2/16/1998,19958
86,2/17/1998,25265
86,2/18/1998,12368
86,2/19/1998,22333
86,2/20/1998,20546
86,2/21/1998,17727
86,2/22/1998,18851
86,2/23/1998,19422
86,2/24/1998,21137
86,2/25/1998,22552
86,2/26/1998,18603
86,2/27/1998,21403
86,2/28/1998,24045
86,3/1/1998,20323
86,3/2/1998,10394
86,3/3/1998,17116
86,3/4/1998,17345
86,3/5/1998,17405
86,3/6/1998,17512
86,3/7/1998,18364
86,3/8/1998,18083
86,3/9/1998,15455
86,3/10/1998,9359
86,3/11/1998,12409
86,3/12/1998,15354
86,3/13/1998,18558
86,3/14/1998,6034
86,3/15/1998,18117
86,3/16/1998,15035
86,3/17/1998,15449
86,3/18/1998,14739
86,3/19/1998,18815
86,3/20/1998,17965
86,3/21/1998,14131
86,3/22/1998,14439
86,3/23/1998,14883
86,3/24/1998,27013
86,3/25/1998,18421
86,3/26/1998,7652
86,3/27/1998,17936
86,3/28/1998,16133
86,3/29/1998,20564
86,3/30/1998,21636
86,3/31/1998,29287
86,4/1/1998,13387
86,4/2/1998,12850
86,4/3/1998,17298
86,4/4/1998,25340
86,4/5/1998,29063
86,4/6/1998,23764
86,4/7/1998,7538
86,4/8/1998,13379
86,4/9/1998,16147
86,4/10/1998,17280
86,4/11/1998,13786
86,4/12/1998,21161
86,4/13/1998,12352
86,4/14/1998,13803
86,4/15/1998,15493
86,4/16/1998,17894
86,4/17/1998,21313
86,4/18/1998,20618
86,4/19/1998,9825
86,4/20/1998,15661
86,4/21/1998,15542
86,4/22/1998,18983
86,4/23/1998,21367
86,4/24/1998,16027
86,4/25/1998,15984
86,4/26/1998,16657
86,4/27/1998,18517
86,4/28/1998,19707
86,4/29/1998,26257
86,4/30/1998,24591
86,5/1/1998,8543
86,5/2/1998,17970
86,5/3/1998,18154
86,5/4/1998,18147
86,5/5/1998,19534
86,5/6/1998,21340
86,5/7/1998,14329
86,5/8/1998,14490
86,5/9/1998,16260
86,5/10/1998,17718
86,5/11/1998,19847
86,5/12/1998,21684
